time	p1,0.278	p2,0.278	p1,0.64	p2,0.64
382	0.507845	1.57E+00	0.876694	1.61E+00
383	0.503521	1.42E+00	0.732885	1.57E+00
384	0.497999	1.24E+00	0.599067	1.53E+00
385	0.492291	1.06E+00	0.482761	1.49E+00
386	0.487944	0.878243	0.387737	1.46E+00
387	0.487075	0.721774	0.313968	1.43E+00
388	0.492113	0.597279	0.258844	1.42E+00
389	0.505355	0.506092	0.218702	1.43E+00
390	0.528624	0.444272	0.189944	1.46E+00
391	0.563217	0.406035	0.169553	1.51E+00
392	0.610027	0.385991	0.155201	1.57E+00
393	0.669687	0.379934	0.145156	1.65E+00
394	0.742623	0.384815	0.138141	1.75E+00
395	0.829012	0.398445	0.133204	1.86E+00
396	0.928661	0.419164	0.129617	1.97E+00
397	1.04E+00	0.445567	0.126818	2.09E+00
398	1.16E+00	0.476305	0.124365	2.21E+00
399	1.30E+00	0.509943	0.121917	2.33E+00
400	1.43E+00	0.544892	0.119227	2.44E+00
401	1.57E+00	0.579403	0.116137	2.54E+00
402	1.70E+00	0.611644	0.112576	2.61E+00
403	1.82E+00	0.63984	0.108554	2.67E+00
404	1.92E+00	0.662448	0.104157	2.69E+00
405	2.00E+00	0.678319	0.0995373	2.68E+00
406	2.04E+00	0.686807	0.0949019	2.63E+00
407	2.05E+00	0.687774	0.0905102	2.51E+00
408	2.02E+00	0.681524	0.0866716	2.32E+00
409	1.95E+00	0.668669	0.0837537	2.05E+00
410	1.82E+00	0.650006	0.0822007	1.66E+00
411	1.65E+00	0.626453	0.0825683	1.20E+00
412	1.45E+00	0.599101	0.0855777	0.730682
413	1.21E+00	0.569438	0.0920918	0.384293
414	0.980532	0.539707	0.102897	0.201617
415	0.771073	0.513085	0.118553	0.123118
416	0.603362	0.493288	0.139591	0.0911173
417	0.482161	0.483653	0.166715	0.0791801
418	0.401842	0.486371	0.200877	0.0772136
419	0.352959	0.502475	0.24328	0.0813651
420	0.326906	0.532311	0.295381	0.0901667
421	0.317425	0.575996	0.358879	0.103151
422	0.320404	0.633645	0.43568	0.120317
423	0.333237	0.705395	0.527841	0.141903
424	0.354239	0.791293	0.637448	0.168258
425	0.38222	0.891115	0.766437	0.199748
426	0.41618	1.00E+00	0.916302	0.236667
427	0.455094	1.13E+00	1.09E+00	0.279116
428	0.497761	1.26E+00	1.28E+00	0.326879
429	0.54272	1.40E+00	1.49E+00	0.37928
430	0.58823	1.54E+00	1.71E+00	0.435066
431	0.632342	1.68E+00	1.94E+00	0.492371
